"","n","r","lambda01","mu01","lambda02","mu02","lambda03","mu03","lambda04","mu04","lambda05","mu05","lambda06","mu06"
"40",20,20,2.39962602885129,1.51201252100195,2.36344718817816,1.50706795466389,2.36344718817816,1.50706795466389,2.4363513446478,1.51793384373603,3.21349185224959,1.60461230780312,2.60356027207153,1.54165064239103
"41",20,20,1.39409545737386,1.48134789213582,1.47940223789956,1.49656636202843,1.50048906475759,1.50012667831343,1.50878817711629,1.49241259356298,2.7315548770543,1.68883159420389,1.75687500677127,1.52872982946989
"42",20,20,1.87460950473668,1.49596104912277,1.84815194211626,1.49159192860575,1.84815194211626,1.49159192860575,1.79717083082008,1.47736741258489,1.90134584960761,1.50015554826241,1.73599875823602,1.47113066526824
"43",20,20,1.22083786585171,1.45847991499673,1.18842504362511,1.44792956582712,1.1571853968519,1.43734440205386,1.16606084492378,1.4434093936445,1.28817374335522,1.49226482643499,1.12587026303849,1.43563300720927
"44",20,20,3.84458214321979,1.6097261672094,3.10139794496155,1.56133093949118,2.67573164455262,1.51888998171129,2.34607714446087,1.49743963374625,2.52262227741571,1.51439181260585,2.36667680870836,1.50195555280828
"45",20,20,2.74247406661168,1.50852496903453,2.48549077415694,1.47967758246191,2.34820639147945,1.46631274851626,2.29153234114042,1.46017596359238,2.54694520225055,1.48373243514606,2.30672464750543,1.45843935316026
"46",20,20,3.00545967556747,1.57551140564968,2.89866857230818,1.5656131357761,2.47520415061899,1.53520926404536,2.42391451335926,1.53270128591855,2.62557616356219,1.55230690589974,2.44110485741798,1.53460939477101
"47",20,20,3.80676258198736,1.6974468351271,3.35100560754616,1.66474262330188,2.75573009257112,1.59965615873441,2.61465102586121,1.57528342806022,2.45491489326692,1.53160923929563,2.79178580622288,1.58735781004854
"48",20,20,1.9561807167204,1.47663265459452,1.92891887729953,1.47307895464962,1.87603363877114,1.46965157109507,1.99249774465823,1.49655426817694,2.23681291358225,1.53218926388945,2.03007031626981,1.50357430224172
"49",20,20,2.14866400807349,1.55136472096729,2.15241100671413,1.55213694440707,2.12403769677283,1.54534818024249,2.01054883863772,1.53125767323829,2.57687338662436,1.59757781071094,2.26929244468479,1.55960562973298
"50",20,20,2.47767019844646,1.5102341518197,2.47369104105067,1.50986449635999,2.45764117964476,1.50880417609905,2.28369767671292,1.49392814789561,2.96258319643424,1.55258494718217,2.63872412347781,1.52233298008121
"51",20,20,1.66742262137932,1.41893150549521,1.66742262137932,1.41893150549521,1.66152547657507,1.41807928668777,1.62337621554336,1.41190463689706,1.95033358377805,1.46882514372774,1.70801865607778,1.42253546188481
"52",20,20,1.82106517215167,1.46573049394157,1.82106517215167,1.46573049394157,1.8290196207454,1.46677132520352,1.68151243771409,1.45626895360737,2.44152196924517,1.54513636551516,2.17853010197105,1.51340942030764
"53",20,20,1.7303767489063,1.40312282703512,1.72387813714085,1.40210243958915,1.71240527946805,1.40028685581934,1.87792062117393,1.43031511488888,1.78768869946061,1.46982081997139,1.19086398432006,1.29470158198961
"54",20,20,2.34994623864334,1.3881265230268,2.35402626524172,1.38869888747725,2.35402626524172,1.38869888747725,2.32812954521862,1.3867815172108,3.48921580754664,1.52254375023834,2.58306304258979,1.431465054741
"55",20,20,1.4813172264956,1.36414292957052,1.55818183475146,1.37523172186636,1.58989765836383,1.38200007322946,1.62686738285726,1.39365086670259,1.81562070711772,1.43233036828594,1.62297816080987,1.3927660371063
"56",20,20,1.34662563276459,1.41397375144311,1.42002851663821,1.43093436279635,1.50345351360353,1.44866465377412,1.51898051377669,1.45077758544129,2.06121678208583,1.50540228578029,2.03024095864721,1.5138545353777
"57",20,20,2.76931057883413,1.58901099388642,2.57527849034371,1.56944732097367,2.57527849034371,1.56944732097367,2.65142663982581,1.57902627784231,3.13990270237696,1.62694684593635,2.65570543926603,1.57960399923938
"58",20,20,1.41842339938172,1.39039011620758,1.40358318919937,1.38749566561541,1.39872691961209,1.38653850475779,1.35736202977684,1.38657856481229,1.64629706321857,1.4685286089154,1.35141856122468,1.38637852529127
"59",20,20,2.13173992921741,1.53670312577596,1.93029264207362,1.51982234353979,1.88746630774494,1.51188351594092,1.62787729228431,1.46247702213549,1.8677797530828,1.52165203647987,1.53281492438262,1.44701050584575
"60",20,20,2.50412864315211,1.42465599384362,2.19531854213733,1.39541646979258,1.95206716448501,1.36761279574694,1.82886158370754,1.34767779058289,2.34131742473991,1.44091097780799,1.7678560243636,1.33959623861297
"61",20,20,3.52413627358364,1.64257084061397,3.27577650170137,1.62501590144148,3.22855118413235,1.62256135662237,2.98091267317187,1.60333830302615,3.2197662282461,1.62217448926398,2.93237657024115,1.59969886355417
"62",20,20,1.64530673925104,1.40948571985154,1.67795255664061,1.41630064533742,1.67795255664061,1.41630064533742,1.75333341769356,1.42457876884191,2.38665536767835,1.53674276080428,1.75929187930527,1.42570961902597
