"","RE1","RE2","RE3","RE4","RE5","RE6"
"81",0.0086240186045455,0.025133750329303,0.000269021584656369,0.00666277912926799,2.98651599292365e-06,0.614776886381681
"82",0.00910450436849987,0.0372969550201378,0.000144203742630002,0.00701549789030132,3.25432959714159e-06,0.615964998316583
"83",0.00762860852356869,0.0276293922086351,0.000178546555304975,0.00599403446586267,2.24186953939312e-06,0.584543711822357
"84",0.00939335686120914,0.0324578423728269,0.000170258735711744,0.0071845316948222,2.85689159357624e-06,0.74619728946912
"85",0.00974836056724893,0.0307129602333492,0.000234662516233842,0.00747623011318421,2.79096228581845e-06,0.807099546617506
"86",0.00959876933746066,0.0380612650817407,0.000120123745755345,0.00730403795333761,2.65641944599487e-06,0.756127286904073
"87",0.00991309022812764,0.0391249755948292,0.000167437490417875,0.00750961909231035,2.40264012418576e-06,0.72891871521488
"88",0.00924406473420256,0.0372757769311804,0.000135016883534266,0.00697619248746058,2.25233613589047e-06,0.65764497184189
"89",0.00889513548538714,0.0366830018689136,9.60520038760222e-05,0.00666126531464059,2.23048991041109e-06,0.877581643690863
"90",0.00900319751704723,0.0309046945832147,0.000119290490602352,0.00696161389382504,2.10514164687067e-06,0.776932070373624
"91",0.00983453536748242,0.0404600932034941,0.000121886627036994,0.00751834497439453,2.400784323746e-06,0.774943564029611
"92",0.0102823740733867,0.0414452779688487,0.000138062765251011,0.00782939658021573,2.65102270429885e-06,0.713939894247562
"93",0.00867372515812454,0.0327986717185028,9.1691107171451e-05,0.00660979195751796,1.95867510411281e-06,0.742034594349113
"94",0.00853310134323183,0.0353330774097306,0.000125240914393557,0.00653910241204165,1.97739568023223e-06,0.719757228869039
"95",0.0123908629691582,0.0506198199776517,0.000186759219278959,0.00943789357738937,2.97483634824508e-06,0.885261263978625
"96",0.00845643119206125,0.0353758513288364,0.000101071139953302,0.00651031086367225,1.98083402370834e-06,0.787162664950116
"97",0.0113850019653421,0.0324247553147124,0.000164458996132478,0.0086994917907993,2.53799375595329e-06,0.580133451509079
"98",0.00827359998022699,0.0317843697748625,9.0474764799256e-05,0.00630113666607963,2.02770652173703e-06,0.69892081792056
"99",0.00834277759071107,0.0331354698028605,9.07200769269378e-05,0.00637731566901515,2.05447819445021e-06,0.665298502651556
"100",0.00821036149972921,0.0322514069944903,0.000104135291146459,0.00641422808442685,2.1138157901406e-06,0.646434382444033
"101",0.0116518486704564,0.0461981286974406,0.000165154665470664,0.00885893012188839,3.07883072912298e-06,0.855558189647789
