"","n","r","lambda01","mu01","lambda02","mu02","lambda03","mu03","lambda04","mu04","lambda05","mu05","lambda06","mu06"
"79",20,16,1.35444034680514,1.32694002030629,1.35444034680514,1.32694002030629,1.38775707020096,1.33343744409674,1.63134996243666,1.37787026898871,2.20664553872048,1.47491622867819,1.6406383614409,1.38060451349849
"80",20,16,1.08968874407619,1.32546146728051,1.05819927933799,1.31894015200235,1.03485048589551,1.31302105020077,0.972328643398395,1.28350377027298,1.32351336916972,1.44309004332784,0.978909554252051,1.28377703662491
"81",20,16,6.82062859103528,1.65136643074056,6.82062859103528,1.65136643074056,6.88897510851775,1.65231884677041,7.32511969170722,1.66536539115383,6.75445916846835,1.69322264279363,5.95738521127657,1.64180183046368
"82",20,16,1.53132344854138,1.42760700445337,1.53132344854138,1.42760700445337,1.51406781801364,1.42447081626177,1.51365413458889,1.42714676646649,2.03800680931699,1.54076429641736,1.5051786124587,1.4246014801679
"83",20,16,2.59335319426698,1.58415303066598,2.59335319426698,1.58415303066598,2.49987154964926,1.57790084677736,2.61603810938922,1.58389383622413,3.58038420878966,1.66157208699402,2.71502189579163,1.58988110573286
"84",20,16,1.27624197919813,1.32578135753834,1.27000985728581,1.3243660216213,1.26137635064819,1.3231579805682,1.24424210053011,1.32891425379274,1.68595126326582,1.46226526388709,1.24531114946286,1.33017607546554
"85",20,16,3.10486145929703,1.57595450905483,2.71885176167373,1.53732856378034,2.58290235626635,1.5262333070032,2.41030054255848,1.5170429247604,2.47808201475709,1.53129867208772,2.40687943857608,1.51785101743561
"86",20,16,1.63080924666746,1.46088735903193,1.63080924666746,1.46088735903193,1.57336138356785,1.44987575929724,1.39680441509887,1.43129142624528,2.77150281903185,1.70469339666254,1.39121414241287,1.43254618919693
"87",20,16,1.82988263390596,1.58043515762159,1.82988263390596,1.58043515762159,1.80652602000631,1.57782749575131,1.80620138991811,1.57971630882305,2.50952316843654,1.67106621897512,1.85736412446822,1.58525206318891
"88",20,16,0.769437302820163,1.23451198369504,0.717507437824813,1.20682769190646,0.717507437824813,1.20682769190646,0.807095794863516,1.2569962485905,1.20526735150379,1.45865950690713,0.814745374892286,1.26197837307655
